# Voltage               Time
-2.002244999999999830e+00    1.596123000000000047e+02
-2.085037999999999947e+00    1.606836000000000126e+02
-2.142742999999999842e+00    1.617548999999999921e+02
-2.200058999999999987e+00    1.628251999999999953e+02
-2.269595999999999947e+00    1.638965000000000032e+02
-2.333784000000000081e+00    1.649678000000000111e+02
-2.423076000000000008e+00    1.660390999999999906e+02
-2.485487000000000002e+00    1.671103999999999985e+02
-2.543918000000000124e+00    1.681816000000000031e+02
-2.638907000000000114e+00    1.692529000000000110e+02
-2.730520999999999976e+00    1.703241999999999905e+02
-2.797032999999999880e+00    1.713954999999999984e+02
-2.857149000000000161e+00    1.724668000000000063e+02
-2.923976999999999826e+00    1.735380999999999858e+02
-2.996744000000000074e+00    1.746093999999999937e+02
-3.083502999999999883e+00    1.756807000000000016e+02
-3.150889999999999969e+00    1.767520000000000095e+02
-3.226334000000000035e+00    1.778223000000000127e+02
-3.282207000000000097e+00    1.788935999999999922e+02
-3.355538999999999827e+00    1.799647999999999968e+02
-3.435462999999999933e+00    1.810361000000000047e+02
-3.499257000000000062e+00    1.821074000000000126e+02
-3.560165000000000024e+00    1.831786999999999921e+02
-3.626373000000000069e+00    1.842500000000000000e+02
-3.717283999999999811e+00    1.853213000000000079e+02
-3.795011000000000134e+00    1.863925999999999874e+02
-3.872234000000000176e+00    1.874638999999999953e+02
-3.950006000000000128e+00    1.885352000000000032e+02
-4.022394000000000247e+00    1.896064000000000078e+02
-4.093607000000000440e+00    1.906767999999999859e+02
-4.164665000000000283e+00    1.917479999999999905e+02
-4.224562999999999846e+00    1.928192999999999984e+02
-4.313930000000000042e+00    1.938906000000000063e+02
-4.363844000000000278e+00    1.949619000000000142e+02
-4.421556999999999960e+00    1.960331999999999937e+02
-4.529895999999999923e+00    1.971045000000000016e+02
-4.614135000000000097e+00    1.981758000000000095e+02
-4.698375999999999664e+00    1.992470999999999890e+02
-4.778444999999999609e+00    2.003183999999999969e+02
-4.862059999999999604e+00    2.013896000000000015e+02
-4.939417999999999864e+00    2.024609000000000094e+02
-5.021164999999999878e+00    2.035321999999999889e+02
-5.106905000000000250e+00    2.046034999999999968e+02
-5.182602000000000153e+00    2.056748000000000047e+02
-5.262520999999999560e+00    2.067461000000000126e+02
-5.341059999999999697e+00    2.078163999999999874e+02
-5.417686999999999919e+00    2.088876999999999953e+02
-5.491379000000000232e+00    2.099590000000000032e+02
-5.559618000000000393e+00    2.110303000000000111e+02
-5.630086999999999620e+00    2.121015999999999906e+02
-5.709915999999999769e+00    2.131728999999999985e+02
-5.775228000000000250e+00    2.142441000000000031e+02
-5.828954999999999664e+00    2.153154000000000110e+02
-5.918288999999999689e+00    2.163866999999999905e+02
-6.023401999999999923e+00    2.174569999999999936e+02
-6.100220000000000198e+00    2.185283000000000015e+02
-6.179974999999999774e+00    2.195996000000000095e+02
-6.252964999999999662e+00    2.206708999999999889e+02
-6.335823999999999678e+00    2.217421999999999969e+02
-6.399596999999999980e+00    2.228135000000000048e+02
-6.459253000000000355e+00    2.238848000000000127e+02
-6.567487999999999992e+00    2.249560999999999922e+02
-6.619061999999999557e+00    2.260272999999999968e+02
-6.684048999999999907e+00    2.270986000000000047e+02
-6.779684999999999739e+00    2.281699000000000126e+02
-6.852343000000000295e+00    2.292411999999999921e+02
-6.941158999999999857e+00    2.303125000000000000e+02
-7.017770999999999759e+00    2.313828000000000031e+02
-7.103555000000000064e+00    2.324541000000000111e+02
-7.178543000000000340e+00    2.335253999999999905e+02
-7.250439000000000078e+00    2.345966999999999985e+02
-7.318457999999999686e+00    2.356680000000000064e+02
-7.394575999999999816e+00    2.367392999999999859e+02
-7.478545999999999694e+00    2.378104999999999905e+02
-7.543457000000000079e+00    2.388817999999999984e+02
-7.603259999999999685e+00    2.399531000000000063e+02
-7.669762000000000413e+00    2.410244000000000142e+02
-7.768678000000000416e+00    2.420956999999999937e+02
-7.862565000000000026e+00    2.431659999999999968e+02
-7.938632000000000133e+00    2.442373000000000047e+02
-7.980731999999999715e+00    2.453086000000000126e+02
-8.061794000000000793e+00    2.463798999999999921e+02
-8.169352999999999199e+00    2.474512000000000000e+02
-8.255240999999999829e+00    2.485225000000000080e+02
-8.354957000000000633e+00    2.495937999999999874e+02
-8.447817000000000576e+00    2.506649999999999920e+02
-8.532622999999999180e+00    2.517363000000000000e+02
-8.622023000000000437e+00    2.528076000000000079e+02
-8.712799999999999656e+00    2.538788999999999874e+02
-8.811652999999999736e+00    2.549501999999999953e+02
-8.920344000000000051e+00    2.560215000000000032e+02
-8.984239999999999782e+00    2.570928000000000111e+02
-9.044206000000000856e+00    2.581641000000000190e+02
-9.137375000000000469e+00    2.592343999999999937e+02
-9.216412999999999300e+00    2.603057000000000016e+02
-9.266631999999999536e+00    2.613770000000000095e+02
-9.346206000000000458e+00    2.624481999999999857e+02
-9.436916000000000082e+00    2.635194999999999936e+02
-9.525778999999999996e+00    2.645908000000000015e+02
-9.613747999999999294e+00    2.656621000000000095e+02
-9.700756999999999408e+00    2.667334000000000174e+02
-9.769026999999999461e+00    2.678047000000000253e+02
-9.824298999999999893e+00    2.688759999999999764e+02
-9.906594000000000122e+00    2.699472999999999843e+02
-9.980403000000000802e+00    2.710185999999999922e+02
-9.992461999999999733e+00    2.720898000000000252e+02
-9.991573000000000704e+00    2.731610999999999763e+02
-9.991647999999999641e+00    2.742323999999999842e+02
-9.991490000000000649e+00    2.753036999999999921e+02
-9.991587000000000884e+00    2.763750000000000000e+02
-9.991813999999999751e+00    2.774463000000000079e+02
-9.991721000000000075e+00    2.785176000000000158e+02
-9.991526999999999603e+00    2.795889000000000237e+02
-9.991561000000000803e+00    2.806601999999999748e+02
-9.993214999999999293e+00    2.817314000000000078e+02
-9.992590999999999113e+00    2.828027000000000157e+02
