,time,pressure
0,0.1,121.0
1,0.2,120.0
2,0.30000000000000004,120.0
3,0.4,121.0
4,0.5,121.0
5,0.6,120.0
6,0.7,121.0
7,0.7999999999999999,121.0
8,0.8999999999999999,121.0
9,0.9999999999999999,120.0
10,1.0999999999999999,120.0
11,1.2,120.0
12,1.3,120.0
13,1.4000000000000001,120.0
14,1.5000000000000002,120.0
15,1.6000000000000003,121.0
16,1.7000000000000004,121.0
17,1.8000000000000005,120.0
18,1.9000000000000006,120.0
19,2.0000000000000004,120.0
20,2.1000000000000005,121.0
21,2.2000000000000006,121.0
22,2.3000000000000007,120.0
23,2.400000000000001,121.0
24,2.500000000000001,121.0
25,2.600000000000001,121.0
26,2.700000000000001,121.0
27,2.800000000000001,120.0
28,2.9000000000000012,120.0
29,3.0000000000000013,120.0
30,3.1000000000000014,121.0
31,3.2000000000000015,120.0
32,3.3000000000000016,120.0
33,3.4000000000000017,121.0
34,3.5000000000000018,120.0
35,3.600000000000002,120.0
36,3.700000000000002,120.0
37,3.800000000000002,121.0
38,3.900000000000002,121.0
39,4.000000000000002,120.0
40,4.100000000000001,120.0
41,4.200000000000001,120.0
42,4.300000000000001,120.0
43,4.4,121.0
44,4.5,120.0
45,4.6,121.0
46,4.699999999999999,120.0
47,4.799999999999999,121.0
48,4.899999999999999,120.0
49,4.999999999999998,120.0
50,5.099999999999998,120.0
51,5.1999999999999975,121.0
52,5.299999999999997,121.0
53,5.399999999999997,120.0
54,5.4999999999999964,120.0
55,5.599999999999996,121.0
56,5.699999999999996,121.0
57,5.799999999999995,121.0
58,5.899999999999995,120.0
59,5.999999999999995,120.0
60,6.099999999999994,120.0
61,6.199999999999994,121.0
62,6.299999999999994,120.0
63,6.399999999999993,121.0
64,6.499999999999993,120.0
65,6.5999999999999925,120.0
66,6.699999999999992,120.0
67,6.799999999999992,120.0
68,6.8999999999999915,120.0
69,6.999999999999991,120.0
70,7.099999999999991,120.0
71,7.19999999999999,120.0
72,7.29999999999999,120.0
73,7.39999999999999,120.0
74,7.499999999999989,120.0
75,7.599999999999989,120.0
76,7.699999999999989,120.0
77,7.799999999999988,120.0
78,7.899999999999988,120.0
79,7.999999999999988,120.0
80,8.099999999999987,120.0
81,8.199999999999987,120.0
82,8.299999999999986,120.0
83,8.399999999999986,119.0
84,8.499999999999986,120.0
85,8.599999999999985,119.0
86,8.699999999999985,119.0
87,8.799999999999985,120.0
88,8.899999999999984,119.0
89,8.999999999999984,119.0
90,9.099999999999984,119.0
91,9.199999999999983,119.0
92,9.299999999999983,119.0
93,9.399999999999983,119.0
94,9.499999999999982,119.0
95,9.599999999999982,119.0
96,9.699999999999982,119.0
97,9.799999999999981,119.0
98,9.89999999999998,119.0
99,9.99999999999998,119.0
100,10.09999999999998,119.0
101,10.19999999999998,119.0
102,10.29999999999998,119.0
103,10.399999999999979,119.0
104,10.499999999999979,119.0
105,10.599999999999978,119.0
106,10.699999999999978,119.0
107,10.799999999999978,119.0
108,10.899999999999977,119.0
109,10.999999999999977,119.0
110,11.099999999999977,119.0
111,11.199999999999976,119.0
112,11.299999999999976,119.0
113,11.399999999999975,120.0
114,11.499999999999975,119.0
115,11.599999999999975,119.0
116,11.699999999999974,119.0
117,11.799999999999974,119.0
118,11.899999999999974,119.0
119,11.999999999999973,119.0
120,12.099999999999973,119.0
121,12.199999999999973,119.0
122,12.299999999999972,119.0
123,12.399999999999972,119.0
124,12.499999999999972,119.0
125,12.599999999999971,119.0
126,12.69999999999997,119.0
127,12.79999999999997,119.0
128,12.89999999999997,120.0
129,12.99999999999997,119.0
130,13.09999999999997,119.0
131,13.199999999999969,119.0
132,13.299999999999969,119.0
133,13.399999999999968,118.0
134,13.499999999999968,118.0
135,13.599999999999968,115.0
136,13.699999999999967,116.0
137,13.799999999999967,116.0
138,13.899999999999967,115.0
139,13.999999999999966,115.0
140,14.099999999999966,115.0
141,14.199999999999966,116.0
142,14.299999999999965,116.0
143,14.399999999999965,116.0
144,14.499999999999964,116.0
145,14.599999999999964,116.0
146,14.699999999999964,116.0
147,14.799999999999963,116.0
148,14.899999999999963,116.0
149,14.999999999999963,117.0
150,15.099999999999962,116.0
151,15.199999999999962,116.0
152,15.299999999999962,116.0
153,15.399999999999961,116.0
154,15.499999999999961,116.0
155,15.59999999999996,115.0
156,15.69999999999996,115.0
157,15.79999999999996,115.0
158,15.89999999999996,115.0
159,15.99999999999996,115.0
160,16.09999999999996,114.0
161,16.19999999999996,113.0
162,16.29999999999996,113.0
163,16.399999999999963,112.0
164,16.499999999999964,112.0
165,16.599999999999966,112.0
166,16.699999999999967,110.0
167,16.79999999999997,111.0
168,16.89999999999997,110.0
169,16.99999999999997,110.0
170,17.099999999999973,110.0
171,17.199999999999974,110.0
172,17.299999999999976,110.0
173,17.399999999999977,109.0
174,17.49999999999998,110.0
175,17.59999999999998,109.0
176,17.69999999999998,109.0
177,17.799999999999983,109.0
178,17.899999999999984,109.0
179,17.999999999999986,109.0
180,18.099999999999987,109.0
181,18.19999999999999,108.0
182,18.29999999999999,109.0
183,18.39999999999999,108.0
184,18.499999999999993,109.0
185,18.599999999999994,109.0
186,18.699999999999996,109.0
187,18.799999999999997,108.0
188,18.9,108.0
189,19.0,109.0
190,19.1,109.0
191,19.200000000000003,109.0
192,19.300000000000004,111.0
193,19.400000000000006,114.0
194,19.500000000000007,117.0
195,19.60000000000001,118.0
196,19.70000000000001,117.0
197,19.80000000000001,118.0
198,19.900000000000013,118.0
199,20.000000000000014,119.0
200,20.100000000000016,121.0
