# Voltage               Time
-1.195865999999999943e-02    0.000000000000000000e+00
-4.096707000000000126e-02    1.071288999999999936e+00
-5.653542000000000289e-02    2.142577999999999872e+00
-1.265288999999999997e-01    3.213867000000000029e+00
-1.839571000000000123e-01    4.285155999999999743e+00
-2.754689000000000165e-01    5.355469000000000257e+00
-3.296602000000000143e-01    6.426758000000000415e+00
-4.550458000000000003e-01    7.498046999999999684e+00
-4.717597000000000040e-01    8.569335999999999842e+00
-5.262291000000000052e-01    9.640625000000000000e+00
-5.330057999999999740e-01    1.071190999999999960e+01
-5.469372000000000122e-01    1.178320000000000078e+01
-5.758891999999999900e-01    1.285449000000000019e+01
-5.312656000000000045e-01    1.392577999999999960e+01
-4.727365000000000039e-01    1.499707000000000079e+01
-3.896458999999999895e-01    1.606738000000000000e+01
-2.869475000000000220e-01    1.713867000000000118e+01
-1.781974000000000058e-01    1.820995999999999881e+01
-5.775871999999999951e-02    1.928125000000000000e+01
7.085152999999999590e-02    2.035254000000000119e+01
2.053535999999999972e-01    2.142382999999999882e+01
3.483979999999999855e-01    2.249512000000000000e+01
5.057947999999999888e-01    2.356641000000000119e+01
6.700498000000000287e-01    2.463769999999999882e+01
8.234204999999999997e-01    2.570801000000000158e+01
9.721376999999999935e-01    2.677929999999999922e+01
1.113526000000000016e+00    2.785059000000000040e+01
1.255652999999999908e+00    2.892186999999999841e+01
1.401656999999999931e+00    2.999315999999999960e+01
1.550983000000000001e+00    3.106445000000000078e+01
1.706171000000000104e+00    3.213573999999999842e+01
1.866354000000000068e+00    3.320703000000000316e+01
2.028996999999999939e+00    3.427832000000000079e+01
2.187180999999999820e+00    3.534960999999999842e+01
2.340060999999999947e+00    3.642090000000000316e+01
2.492780999999999914e+00    3.749219000000000079e+01
2.648492000000000068e+00    3.856347999999999843e+01
2.802853999999999957e+00    3.963477000000000317e+01
2.958168000000000131e+00    4.070508000000000237e+01
3.109112000000000098e+00    4.177637000000000000e+01
3.259546999999999972e+00    4.284765999999999764e+01
3.414460000000000051e+00    4.391895000000000238e+01
3.560522999999999882e+00    4.499022999999999683e+01
3.707063999999999915e+00    4.606152000000000157e+01
3.851662999999999837e+00    4.713280999999999921e+01
4.001742000000000132e+00    4.820409999999999684e+01
4.149860999999999578e+00    4.927441000000000315e+01
4.297820999999999891e+00    5.034570000000000078e+01
4.441558999999999813e+00    5.141698999999999842e+01
4.590025999999999939e+00    5.248828000000000316e+01
4.735266000000000197e+00    5.355957000000000079e+01
4.876324000000000325e+00    5.463085999999999842e+01
5.015621999999999581e+00    5.570215000000000316e+01
5.165076000000000001e+00    5.677344000000000079e+01
5.310946000000000389e+00    5.784472999999999843e+01
5.449893000000000320e+00    5.891602000000000317e+01
5.589786000000000143e+00    5.998729999999999762e+01
5.723251000000000310e+00    6.105762000000000000e+01
5.861260999999999832e+00    6.212890999999999764e+01
5.998997000000000135e+00    6.320020000000000238e+01
6.121512000000000064e+00    6.427147999999999683e+01
6.251863000000000170e+00    6.534277000000000157e+01
6.379952000000000290e+00    6.641406000000000631e+01
6.508418999999999954e+00    6.748534999999999684e+01
6.632319999999999993e+00    6.855664000000000158e+01
6.759509999999999685e+00    6.962793000000000632e+01
6.882073000000000107e+00    7.069921999999999684e+01
7.004836000000000062e+00    7.176953000000000316e+01
7.109380999999999950e+00    7.284081999999999368e+01
7.218943999999999583e+00    7.391210999999999842e+01
7.326387000000000427e+00    7.498340000000000316e+01
7.436060999999999588e+00    7.605468999999999369e+01
7.550155000000000172e+00    7.712597999999999843e+01
7.658959000000000295e+00    7.819727000000000317e+01
7.768919000000000352e+00    7.926855000000000473e+01
7.879898999999999987e+00    8.033983999999999526e+01
7.992071000000000147e+00    8.141113000000000000e+01
8.100889999999999702e+00    8.248242000000000473e+01
8.211748999999999299e+00    8.355370999999999526e+01
8.314766999999999797e+00    8.462500000000000000e+01
8.418806999999999263e+00    8.569629000000000474e+01
8.511782000000000181e+00    8.676659999999999684e+01
8.603408999999999196e+00    8.783789000000000158e+01
8.690737999999999630e+00    8.890918000000000632e+01
8.770322999999999425e+00    8.998046999999999684e+01
8.845354000000000383e+00    9.105176000000000158e+01
8.919012000000000384e+00    9.212305000000000632e+01
8.995504000000000389e+00    9.319433999999999685e+01
9.064849000000000601e+00    9.426561999999999841e+01
9.134118000000000848e+00    9.533691000000000315e+01
9.199911000000000172e+00    9.640819999999999368e+01
9.265178000000000580e+00    9.747948999999999842e+01
9.330674000000000134e+00    9.855078000000000316e+01
9.388040999999999414e+00    9.962206999999999368e+01
9.447393999999999181e+00    1.006924000000000063e+02
9.501566999999999652e+00    1.017637000000000000e+02
9.562875000000000014e+00    1.028349999999999937e+02
9.618558999999999415e+00    1.039063000000000017e+02
9.669349999999999667e+00    1.049775000000000063e+02
9.735440999999999789e+00    1.060488000000000000e+02
9.791024000000000171e+00    1.071200999999999937e+02
9.831685000000000230e+00    1.081914000000000016e+02
9.880062000000000566e+00    1.092626999999999953e+02
9.934566999999999481e+00    1.103340000000000032e+02
9.994059999999999278e+00    1.114052999999999969e+02
9.995196999999999221e+00    1.124766000000000048e+02
9.995767000000000735e+00    1.135478999999999985e+02
9.995518999999999821e+00    1.146191000000000031e+02
9.995317000000000007e+00    1.156903999999999968e+02
